name	slack
fdct_zigzag.dct_mod.dct_block_0.dct_unit_6.macu.mult_res\[18\]$_DFFE_PP_/D	-2.02348e-10
fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.macu.mult_res\[18\]$_DFFE_PP_/D	-2.02201e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.macu.mult_res\[14\]$_DFFE_PP_/D	-2.0158e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_5.macu.mult_res\[15\]$_DFFE_PP_/D	-2.00945e-10
fdct_zigzag.dct_mod.dct_block_4.dct_unit_7.macu.mult_res\[18\]$_DFFE_PP_/D	-2.0087e-10
fdct_zigzag.dct_mod.dct_block_5.dct_unit_1.macu.mult_res\[18\]$_DFFE_PP_/D	-1.9857e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_4.macu.mult_res\[18\]$_DFFE_PP_/D	-1.97665e-10
fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.macu.mult_res\[14\]$_DFFE_PP_/D	-1.95417e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_7.macu.mult_res\[16\]$_DFFE_PP_/D	-1.95349e-10
fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.macu.mult_res\[15\]$_DFFE_PP_/D	-1.95108e-10
fdct_zigzag.dct_mod.dct_block_6.dct_unit_3.macu.mult_res\[14\]$_DFFE_PP_/D	-1.94507e-10
fdct_zigzag.dct_mod.dct_block_4.dct_unit_1.macu.mult_res\[18\]$_DFFE_PP_/D	-1.93509e-10
fdct_zigzag.dct_mod.dct_block_0.dct_unit_5.macu.mult_res\[16\]$_DFFE_PP_/D	-1.92793e-10
fdct_zigzag.dct_mod.dct_block_2.dct_unit_7.macu.mult_res\[18\]$_DFFE_PP_/D	-1.91133e-10
fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.macu.mult_res\[17\]$_DFFE_PP_/D	-1.90864e-10
fdct_zigzag.dct_mod.dct_block_7.dct_unit_1.macu.mult_res\[14\]$_DFFE_PP_/D	-1.89877e-10
fdct_zigzag.dct_mod.dct_block_0.dct_unit_7.macu.mult_res\[18\]$_DFFE_PP_/D	-1.89182e-10
fdct_zigzag.dct_mod.dct_block_2.dct_unit_3.macu.mult_res\[18\]$_DFFE_PP_/D	-1.88965e-10
fdct_zigzag.dct_mod.dct_block_7.dct_unit_6.macu.mult_res\[16\]$_DFFE_PP_/D	-1.8891e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_5.macu.mult_res\[14\]$_DFFE_PP_/D	-1.88728e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_1.macu.mult_res\[14\]$_DFFE_PP_/D	-1.87422e-10
fdct_zigzag.dct_mod.dct_block_7.dct_unit_7.macu.mult_res\[18\]$_DFFE_PP_/D	-1.87293e-10
fdct_zigzag.dct_mod.dct_block_4.dct_unit_5.macu.mult_res\[14\]$_DFFE_PP_/D	-1.86869e-10
fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.macu.mult_res\[16\]$_DFFE_PP_/D	-1.86408e-10
fdct_zigzag.dct_mod.dct_block_6.dct_unit_5.macu.mult_res\[14\]$_DFFE_PP_/D	-1.85202e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.macu.mult_res\[15\]$_DFFE_PP_/D	-1.84666e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_5.macu.mult_res\[17\]$_DFFE_PP_/D	-1.84099e-10
fdct_zigzag.dct_mod.dct_block_7.dct_unit_3.macu.mult_res\[14\]$_DFFE_PP_/D	-1.84e-10
fdct_zigzag.dct_mod.dct_block_6.dct_unit_3.macu.mult_res\[17\]$_DFFE_PP_/D	-1.83062e-10
fdct_zigzag.dct_mod.dct_block_5.dct_unit_7.macu.mult_res\[17\]$_DFFE_PP_/D	-1.82601e-10
fdct_zigzag.dct_mod.dct_block_5.dct_unit_5.macu.mult_res\[18\]$_DFFE_PP_/D	-1.81806e-10
fdct_zigzag.dct_mod.dct_block_7.dct_unit_3.macu.mult_res\[16\]$_DFFE_PP_/D	-1.79145e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_7.macu.mult_res\[14\]$_DFFE_PP_/D	-1.78651e-10
fdct_zigzag.dct_mod.dct_block_6.dct_unit_7.macu.mult_res\[16\]$_DFFE_PP_/D	-1.78636e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res\[14\]$_DFFE_PP_/D	-1.78517e-10
fdct_zigzag.dct_mod.dct_block_5.dct_unit_6.macu.mult_res\[14\]$_DFFE_PP_/D	-1.78436e-10
fdct_zigzag.dct_mod.dct_block_7.dct_unit_3.macu.mult_res\[15\]$_DFFE_PP_/D	-1.77064e-10
fdct_zigzag.dct_mod.dct_block_6.dct_unit_0.macu.mult_res\[14\]$_DFFE_PP_/D	-1.77022e-10
fdct_zigzag.dct_mod.dct_block_7.dct_unit_5.macu.mult_res\[16\]$_DFFE_PP_/D	-1.76707e-10
fdct_zigzag.dct_mod.dct_block_4.dct_unit_1.macu.mult_res\[14\]$_DFFE_PP_/D	-1.76678e-10
fdct_zigzag.dct_mod.dct_block_5.dct_unit_7.macu.mult_res\[14\]$_DFFE_PP_/D	-1.75892e-10
fdct_zigzag.dct_mod.dct_block_6.dct_unit_4.macu.mult_res\[14\]$_DFFE_PP_/D	-1.75647e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_3.macu.mult_res\[16\]$_DFFE_PP_/D	-1.75112e-10
fdct_zigzag.dct_mod.dct_block_2.dct_unit_5.macu.mult_res\[14\]$_DFFE_PP_/D	-1.74668e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.macu.mult_res\[18\]$_DFFE_PP_/D	-1.74626e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_6.macu.mult_res\[18\]$_DFFE_PP_/D	-1.74448e-10
fdct_zigzag.dct_mod.dct_block_7.dct_unit_5.macu.mult_res\[17\]$_DFFE_PP_/D	-1.74193e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_0.macu.mult_res\[14\]$_DFFE_PP_/D	-1.74183e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_7.macu.mult_res\[17\]$_DFFE_PP_/D	-1.72933e-10
fdct_zigzag.dct_mod.dct_block_0.dct_unit_5.macu.mult_res\[18\]$_DFFE_PP_/D	-1.72797e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_1.macu.mult_res\[16\]$_DFFE_PP_/D	-1.72733e-10
fdct_zigzag.dct_mod.dct_block_6.dct_unit_5.macu.mult_res\[16\]$_DFFE_PP_/D	-1.72562e-10
fdct_zigzag.dct_mod.dct_block_2.dct_unit_6.macu.mult_res\[17\]$_DFFE_PP_/D	-1.72534e-10
fdct_zigzag.dct_mod.dct_block_2.dct_unit_5.macu.mult_res\[17\]$_DFFE_PP_/D	-1.72354e-10
fdct_zigzag.dct_mod.dct_block_2.dct_unit_5.macu.mult_res\[16\]$_DFFE_PP_/D	-1.7109e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.macu.mult_res\[17\]$_DFFE_PP_/D	-1.70939e-10
fdct_zigzag.dct_mod.dct_block_5.dct_unit_6.macu.mult_res\[16\]$_DFFE_PP_/D	-1.70867e-10
fdct_zigzag.dct_mod.dct_block_0.dct_unit_5.macu.mult_res\[14\]$_DFFE_PP_/D	-1.70427e-10
fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.macu.mult_res\[16\]$_DFFE_PP_/D	-1.69911e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_4.macu.mult_res\[14\]$_DFFE_PP_/D	-1.69883e-10
fdct_zigzag.dct_mod.dct_block_5.dct_unit_3.macu.mult_res\[17\]$_DFFE_PP_/D	-1.69722e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_2.macu.mult_res\[14\]$_DFFE_PP_/D	-1.69393e-10
fdct_zigzag.dct_mod.dct_block_6.dct_unit_4.macu.mult_res\[16\]$_DFFE_PP_/D	-1.6926e-10
fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.macu.mult_res\[18\]$_DFFE_PP_/D	-1.69249e-10
fdct_zigzag.dct_mod.dct_block_5.dct_unit_4.macu.mult_res\[18\]$_DFFE_PP_/D	-1.69113e-10
fdct_zigzag.dct_mod.dct_block_5.dct_unit_2.macu.mult_res\[16\]$_DFFE_PP_/D	-1.68566e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.macu.mult_res\[16\]$_DFFE_PP_/D	-1.68455e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_0.macu.mult_res\[16\]$_DFFE_PP_/D	-1.67822e-10
fdct_zigzag.dct_mod.dct_block_5.dct_unit_0.macu.mult_res\[18\]$_DFFE_PP_/D	-1.67416e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.macu.mult_res\[16\]$_DFFE_PP_/D	-1.66813e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_7.macu.mult_res\[17\]$_DFFE_PP_/D	-1.66127e-10
fdct_zigzag.dct_mod.dct_block_3.dct_unit_1.macu.mult_res\[17\]$_DFFE_PP_/D	-1.6589e-10
fdct_zigzag.dct_mod.dct_block_1.dct_unit_5.macu.mult_res\[15\]$_DFFE_PP_/D	-1.65395e-10
fdct_zigzag.dct_mod.dct_block_4.dct_unit_2.macu.mult_res\[17\]$_DFFE_PP_/D	-1.65011e-10
fdct_zigzag.dct_mod.dct_block_2.dct_unit_2.macu.mult_res\[15\]$_DFFE_PP_/D	-1.64267e-10
